Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Succinic Acid,11.44,54678844,0,2494182,-8.8,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half3,Heavy Succinic Acid,11.5,57449436,115112,2778963,-8.7,Internal Standard
Internal Standard,170601_Smp_Pro9312_A,Heavy Succinic Acid,11.9,27947742,0,5735439,-8.2,Internal Standard
Internal Standard,170601_Smp_Pro9312_B,Heavy Succinic Acid,11.8,113522192,231634,10041664,-8.3,Internal Standard
Internal Standard,170601_Smp_Pro9312_C,Heavy Succinic Acid,11.86,99062296,0,10874352,-8.7,Internal Standard
Internal Standard,170601_Smp_Pro9313_A,Heavy Succinic Acid,11.84,77207984,0,9790784,-7.1,Internal Standard
Internal Standard,170601_Smp_Pro9313_B,Heavy Succinic Acid,11.84,122232552,0,10064283,-8.9,Internal Standard
Internal Standard,170601_Smp_Pro9313_C,Heavy Succinic Acid,11.83,122733136,197236,9922468,-8.6,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_1,Heavy Succinic Acid,11.71,109144928,1468078,5698671,-8.6,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_2,Heavy Succinic Acid,11.69,103263664,0,5386316,-8.8,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_3,Heavy Succinic Acid,11.55,108545472,0,4731202,-8.7,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_1,Heavy Succinic Acid,11.68,110511576,0,5491970,-8.6,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_2,Heavy Succinic Acid,11.6,103340416,0,4564948,-8.7,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_3,Heavy Succinic Acid,11.68,102417648,0,5214617,-8.5,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_1,Heavy Succinic Acid,11.95,29199160,0,2592965,-8.8,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_2,Heavy Succinic Acid,11.65,14843505,0,1637701,-6.7,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_3,Heavy Succinic Acid,11.21,44950116,0,2396766,-8.5,Internal Standard
Internal Standard,170601_Blk_1a,Heavy Cysteic Acid,11.74,13640531,0,888675,-3.9,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Cysteic Acid,11.73,13637039,0,822678,-4.1,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Cysteic Acid,11.65,14025218,0,904849,-4.3,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Cysteic Acid,11.9,12506710,18338,1079669,-4.1,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Cysteic Acid,11.88,12653084,0,1109254,-4.2,Internal Standard
Internal Standard,170601_Blk_2c,Heavy Cysteic Acid,11.84,12710241,0,1066471,-3.8,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_1,Heavy Cysteic Acid,11.71,11409557,0,719220,-4.6,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_2,Heavy Cysteic Acid,11.71,10865171,0,717689,-4.4,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_3,Heavy Cysteic Acid,11.45,10881272,68738,573182,-4.4,Internal Standard
Internal Standard,170601_Poo_Pro_Full1,Heavy Cysteic Acid,11.71,11330138,0,908340,-4.3,Internal Standard
Internal Standard,170601_Poo_Pro_Full2,Heavy Cysteic Acid,11.71,11657722,0,800941,-4.5,Internal Standard
Internal Standard,170601_Poo_Pro_Full3,Heavy Cysteic Acid,11.74,11688559,0,753617,-4.6,Internal Standard
Internal Standard,170601_Poo_Pro_Half1,Heavy Cysteic Acid,11.71,5544891,0,491596,-4.7,Internal Standard
Internal Standard,170601_Poo_Pro_Half2,Heavy Cysteic Acid,11.62,6170780,0,444556,-4.4,Internal Standard
Internal Standard,170601_Poo_Pro_Half3,Heavy Cysteic Acid,11.63,6209554,0,468282,-4.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Cysteic Acid,11.58,13892862,0,831957,-3.9,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Cysteic Acid,11.44,14532076,0,796255,-3.9,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Cysteic Acid,11.44,14011485,32652,795460,-4.1,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Cysteic Acid,11.5,6816166,0,453740,-4,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Cysteic Acid,11.31,7306284,0,517714,-4.2,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half3,Heavy Cysteic Acid,11.34,7699979,0,532121,-4.1,Internal Standard
Internal Standard,170601_Smp_Pro9312_A,Heavy Cysteic Acid,11.77,11422361,43234,913109,-4.8,Internal Standard
Internal Standard,170601_Smp_Pro9312_B,Heavy Cysteic Acid,11.72,10767768,0,800804,-4.3,Internal Standard
Internal Standard,170601_Smp_Pro9312_C,Heavy Cysteic Acid,11.74,12013165,0,1009485,-4.5,Internal Standard
Internal Standard,170601_Smp_Pro9313_A,Heavy Cysteic Acid,11.76,10238509,0,710572,-4.5,Internal Standard
Internal Standard,170601_Smp_Pro9313_B,Heavy Cysteic Acid,11.73,10353064,0,848188,-4.4,Internal Standard
Internal Standard,170601_Smp_Pro9313_C,Heavy Cysteic Acid,11.76,11736859,0,814996,-4.5,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_1,Heavy Cysteic Acid,11.66,13554318,0,848906,-3.7,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_2,Heavy Cysteic Acid,11.65,13415944,0,824346,-4.1,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_3,Heavy Cysteic Acid,11.44,14084871,0,806327,-4,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_1,Heavy Cysteic Acid,11.6,13615993,0,857189,-3.8,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_2,Heavy Cysteic Acid,11.49,13836101,0,788208,-3.9,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_3,Heavy Cysteic Acid,11.63,13160173,55431,824573,-3.7,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_1,Heavy Cysteic Acid,11.89,2382374,0,221929,-4.2,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_2,Heavy Cysteic Acid,11.5,3035628,0,237464,-4.5,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_3,Heavy Cysteic Acid,11.1,4410121,0,303155,-4.2,Internal Standard
Internal Standard,170601_Blk_1a,Heavy Taurine,10.59,7270324,0,707184,-7.6,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Taurine,10.57,7031601,0,665384,-7.9,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Taurine,10.61,6849505,0,648255,-7.9,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Taurine,10.83,2422285,0,278644,-7.7,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Taurine,10.8,2446638,0,290016,-7.7,Internal Standard
Internal Standard,170601_Blk_2c,Heavy Taurine,10.81,2461173,0,278554,-7.6,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_1,Heavy Taurine,9.36,47009792,289826,3117596,-8.3,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_2,Heavy Taurine,9.36,44925340,499537,3037565,-8.3,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_3,Heavy Taurine,8.96,35536364,428744,2285416,-8.3,Internal Standard
Internal Standard,170601_Poo_Pro_Full1,Heavy Taurine,10.11,19008926,0,1737402,-7.6,Internal Standard
Internal Standard,170601_Poo_Pro_Full2,Heavy Taurine,10.09,19261670,0,1837120,-7.9,Internal Standard
Internal Standard,170601_Poo_Pro_Full3,Heavy Taurine,10.11,19571234,73610,1794656,-8.1,Internal Standard
Internal Standard,170601_Poo_Pro_Half1,Heavy Taurine,9.77,14759445,66823,1287647,-7.7,Internal Standard
Internal Standard,170601_Poo_Pro_Half2,Heavy Taurine,9.7,15325983,0,1344658,-7.7,Internal Standard
Internal Standard,170601_Poo_Pro_Half3,Heavy Taurine,9.7,15147204,0,1380773,-8,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Taurine,10.54,7128370,0,700750,-7.5,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Taurine,10.54,7478854,0,761848,-7.3,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Taurine,10.56,7631452,0,720474,-7.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Taurine,10.04,5235107,0,494815,-8.1,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Taurine,10.03,5865162,0,579769,-7.9,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half3,Heavy Taurine,10,5661741,0,508397,-7.8,Internal Standard
Internal Standard,170601_Smp_Pro9312_A,Heavy Taurine,10.14,21751470,81512,2139504,-7.9,Internal Standard
Internal Standard,170601_Smp_Pro9312_B,Heavy Taurine,10.01,21244030,0,1966552,-7.4,Internal Standard
Internal Standard,170601_Smp_Pro9312_C,Heavy Taurine,10.15,22289672,120383,2174894,-7.6,Internal Standard
Internal Standard,170601_Smp_Pro9313_A,Heavy Taurine,10.12,15051122,0,1376296,-8,Internal Standard
